dimension_id,target,usl,lsl,gdt_flag
CTF 1124,2.85,2.93,2.77,
CTF 1126,3.42,3.52,3.32,
CTF 1127,2.3,2.4,2.2,
CTF 1129,0.05,0.15,-0.05,
CTF 1130,6.65,6.75,6.55,
CTF 1131,6.7,6.8,6.6,
CTF 1132,0,0.1,-0.1,
CTF 1137,0,0.08,-0.08,
CTF 1202,129.01,129.11,128.91,
CTF 1203,129.01,129.11,128.91,
CTF 1205_1,91.23,91.31,91.15,
CTF 1205_2,91.23,91.31,91.15,
CTF 1207,2.17,2.27,2.07,
CTF 1208,2.17,2.27,2.07,
CTF 1209,2.17,2.27,2.07,
CTF 1211,2.17,2.27,2.07,
CTF 1212,0.7,0.8,0.6,
CTF 1213,0.7,0.8,0.6,
CTF 1214,0.7,0.8,0.6,
CTF 1223,2.17,2.27,2.07,
CTF 1401,0,0.8,,
CTF 1402_1,0.6,0.7,0.5,
CTF 1402_2,0.6,0.7,0.5,
CTF 1402_3,0.6,0.7,0.5,
CTF 1402_4,0.6,0.7,0.5,
CTF 1402_5,0.6,0.7,0.5,
CTF 1402_6,0.6,0.7,0.5,
CTF 1403_1,0.65,0.75,0.55,
CTF 1403_2,0.65,0.75,0.55,
CTF 1403_3,0.65,0.75,0.55,
CTF 1404_1,0.55,0.65,0.45,
CTF 1404_2,0.55,0.65,0.45,
CTF 1404_3,0.55,0.65,0.45,
CTF 1404_4,0.55,0.65,0.45,
CTF 1404_5,0.55,0.65,0.45,
CTF 1404_6,0.55,0.65,0.45,
CTF 1501,0,0.8,,
CTF 1502,0,0.8,,
CTF 1602,12.98,13.18,12.78,
CTF 1603,1.9,2.05,1.75,
CTF 1606,1.9,2.05,1.75,
CTF 1607,1.9,2.05,1.75,
CTF 1608,36.76,36.91,36.61,
CTF 1609,1.9,2.05,1.75,
CTF 1610,36.76,36.91,36.61,
CTF 1611,1.9,2.05,1.75,
CTF 1612_1,79.26,79.46,79.06,
CTF 1612_2,79.26,79.46,79.06,
CTF 1613_1,4.18,4.33,4.03,
CTF 1613_2,4.18,4.33,4.03,
CTF 1614_1,4.18,4.33,4.03,
CTF 1614_2,4.18,4.33,4.03,
CTF 1615_1,3.55,3.7,3.4,
CTF 1615_2,3.55,3.7,3.4,
CTF 1616_1,5.63,5.78,5.48,
CTF 1616_2,5.63,5.78,5.48,
CTF 1617_1,5.63,5.78,5.48,
CTF 1617_2,5.63,5.78,5.48,
CTF 1618_1,2.1,2.25,1.95,
CTF 1618_2,2.1,2.25,1.95,
CTF 1619,6.67,6.72,6.62,
CTF 1621,1,1.05,0.95,
CTF 1622_1,10.99,11.19,10.79,
CTF 1622_2,10.99,11.19,10.79,
CTF 1623,1.9,2.05,1.75,
CTF 1624,1.9,2.05,1.75,
CTF 1625,12.98,13.18,12.78,
CTF 1626,1.9,2.05,1.75,
CTF 1627_1,1.9,2.05,1.75,
CTF 1627_2,1.9,2.05,1.75,
CTF 1628_1,25,25.15,24.85,
CTF 1628_2,25,25.15,24.85,
CTF 1629_1,1.9,2.05,1.75,
CTF 1629_2,1.9,2.05,1.75,
CTF 1630_1,60.93,61.13,60.73,
CTF 1630_2,60.93,61.13,60.73,
CTF 1701 B,2.2,2.25,2.15,
CTF 1701 X,153.1,153.2,153,
CTF 1701 Y,78.35,78.45,78.25,
CTF 1702_1,2.5,2.58,2.42,
CTF 1702_2,2.5,2.58,2.42,
CTF 1702_3,2.5,2.58,2.42,
CTF 1702_4,2.5,2.58,2.42,
CTF 1702_5,2.5,2.58,2.42,
CTF 1702_6,2.5,2.58,2.42,
CTF 1702_7,2.5,2.58,2.42,
CTF 1702_8,2.5,2.58,2.42,
CTF 1702_9,2.5,2.58,2.42,
CTF 1702_10,2.5,2.58,2.42,
CTF 1705_1,0.88,0.98,0.78,
CTF 1705_2,0.88,0.98,0.78,
CTF 1705_3,0.88,0.98,0.78,
CTF 1705_4,0.88,0.98,0.78,
CTF 1705_5,0.88,0.98,0.78,
CTF 1705_6,0.88,0.98,0.78,
CTF 1705_7,0.88,0.98,0.78,
CTF 1705_8,0.88,0.98,0.78,
CTF 1705_9,0.88,0.98,0.78,
CTF 1705_10,0.88,0.98,0.78,
CTF 1706,49.23,49.31,49.15,
CTF 1707,42.99,43.07,42.91,
CTF 1708,21.12,21.2,21.04,
CTF 1709,13.75,13.83,13.67,
CTF 1710,30.28,30.36,30.2,
CTF 1711,31.05,31.13,30.97,
CTF 1712,26.79,26.87,26.71,
CTF 1713,18.04,18.12,17.96,
CTF 1714,35.04,35.12,34.96,
CTF 1715,70.04,70.12,69.96,
CTF 1718,1.85,1.925,1.775,
CTF 1721,1.85,1.925,1.775,
CTF 1801B,2.4,2.45,2.35,
CTF 1803B,2.4,2.45,2.35,
CTF 1804B,3.4,3.45,3.35,
CTF 1806B,2.4,2.45,2.35,
CTF 1809B,2.4,2.45,2.35,
CTF 1814_1,4.46,4.56,4.36,
CTF 1814_2,4.46,4.56,4.36,
CTF 1814_3,4.46,4.56,4.36,
CTF 1817_1,1.2,1.28,1.12,
CTF 1817_2,1.2,1.28,1.12,
CTF 1817_3,1.2,1.28,1.12,
CTF 1817_4,1.2,1.28,1.12,
CTF 1818,4.7,4.8,4.6,
CTF 1820_1,1.3,1.4,1.2,
CTF 1820_2,1.3,1.4,1.2,
CTF 1820_3,1.3,1.4,1.2,
CTF 1820_4,1.3,1.4,1.2,
CTF 1820_5,1.3,1.4,1.2,
CTF 1821,4.51,4.61,4.41,
CTF 1822,4.14,4.24,4.04,
CTF 1823,30.59,30.69,30.49,
CTF 1824,42.59,42.69,42.49,
CTF 1825,66.49,66.59,66.39,
CTF 1833,0,0.2,,
CTF 1843_1,1.56,1.66,1.46,
CTF 1843_2,1.56,1.66,1.46,
CTF 1843_3,1.56,1.66,1.46,
CTF 1843_4,1.56,1.66,1.46,
CTF 1843_5,1.56,1.66,1.46,
CTF 1843_6,1.56,1.66,1.46,
CTF 1846_1,1.07,1.17,0.97,
CTF 1846_2,1.07,1.17,0.97,
CTF 1846_3,1.07,1.17,0.97,
CTF 1846_4,1.07,1.17,0.97,
CTF 1846_5,1.07,1.17,0.97,
CTF 1847,1.8,1.9,1.7,
CTF 1848,6.85,6.95,6.75,
CTF 1849_1,1.3,1.4,1.2,
CTF 1849_2,1.3,1.4,1.2,
CTF 1849_3,1.3,1.4,1.2,
CTF 1849_4,1.3,1.4,1.2,
CTF 1849_5,1.3,1.4,1.2,
CTF 1849_6,1.3,1.4,1.2,
CTF 1851,0,0.2,,
CTF 1852,39.43,39.53,39.33,
CTF 1853,48.1,48.2,48,
CTF 1854,58.77,58.87,58.67,
CTF 1855,67.37,67.47,67.27,
CTF 1856,1.45,1.53,1.37,
CTF 1924,83.2,83.28,83.12,
CTF 2023,4.64,4.74,4.54,
CTF 2024_1,1.1,1.2,1,
CTF 2024_2,1.1,1.2,1,
CTF 2025,6.03,6.13,5.93,
CTF 2031,1.5,1.58,1.42,
CTF 2035,0.45,0.5,0.4,
CTF 2039,14.38,14.43,14.33,
CTF 2105,1.02,1.12,0.92,
CTF 2111,10.29,10.79,9.79,
CTF 2112,5.52,5.62,5.42,
CTF 2211_1,1.5,1.6,1.45,
CTF 2211_2,1.5,1.6,1.45,
CTF 2310,7.4,7.48,7.32,
CTF 2312,26.5,26.58,26.42,
CTF 2316,7.4,7.48,7.32,
CTF 2317,26.5,26.58,26.42,
CTF 2318,1,1.08,0.92,
CTF 2318_2,1,1.08,0.92,
CTF 2319_1,3.7,3.78,3.62,
CTF 2319_2,3.7,3.78,3.62,
CTF 2401,1.6,1.7,1.5,
CTF 2403,3.4,3.5,3.3,
CTF 2405_1,2.2,2.28,2.12,
CTF 2405_2,2.2,2.28,2.12,
CTF 2405_3,2.2,2.28,2.12,
CTF 2405_4,2.2,2.28,2.12,
CTF 2406_1,0,0.2,,
CTF 2406_2,0,0.2,,
CTF 2406_3,0,0.2,,
CTF 2406_4,0,0.2,,
CTF 2410,2.25,2.325,2.175,
CTF 2413,2.25,2.325,2.175,
CTF 2414,2.25,2.325,2.175,
CTF 2502,0,0.8,,
CTF 2504,0,0.8,,
